source: https://github.com/markomanninen/strongs/blob/master/strongs/nt-strongs.csv
G1	--Alpha
G5357	vial
G5358	love of good men
G5359	Philadelphia
G5360	brotherly love
G5361	love as brethren
G5362	love their husbands
G5363	kindness
G5364	courteously
G5365	love of money
G5366	covetous
G5367	lover of own self
G5368	kiss
G5369	lover of pleasure
G5370	kiss
G5371	Philemon
G5372	Philetus
G5373	friendship
G5374	Philippian
G5375	Philippi
G5376	Philip
G5377	lover of God
G5378	Philologus
G5379	strife
G5380	contentious
G5381	entertain stranger
G5382	given to (lover of
G5383	love to have the preeminence
G5384	friend
G5385	philosophy
G5386	philosopher
G5387	kindly affectioned
G5388	love their children
G5389	labour
G5390	courteously
G5391	courteous
G5392	muzzle
G5393	Phlegon
G5394	set on fire
G5395	flame
G5396	prate against
G5397	tattler
G5398	fearful
G5399	be  afraid
G5400	fearful sight
G5401	be afraid
G5402	Phebe
G5403	Phenice
G5404	palm
G5405	Phenice
G5406	murderer
G5407	kill
G5408	murder
G5409	bear
G5410	forum
G5411	tribute
G5412	lade
G5413	burden
G5414	lading
G5415	Fortunatus
G5416	scourge
G5417	scourge
G5418	hedge
G5419	declare
G5420	stop
G5421	well
G5422	deceive
G5423	deceiver
G5424	understanding
G5425	tremble
G5426	set the affection on
G5427	(be
G5428	prudence
G5429	wise
G5430	wisely
G5431	be careful
G5432	keep
G5433	rage
G5434	stick
G5435	Phrygia
G5436	Phygellus
G5437	flight
G5438	cage
G5439	imprison
G5440	phylactery
G5441	keeper
G5442	beward
G5443	kindred
G5444	leaf
G5445	lump
G5446	natural
G5447	naturally
G5448	puff up
G5449	kind
G5450	swelling
G5451	plant
G5452	plant
G5453	spring
G5454	hole
G5455	call
G5456	noise
G5457	fire
G5458	light
G5459	day star
G5460	bright
G5461	enlighten
G5462	light
G5463	farewell
G5464	hail
G5465	let down
G5466	Chaldæan
G5467	fierce
G5468	bridle
G5469	bit
G5470	brass
G5471	coppersmith
G5472	chalcedony
G5473	brazen vessel
G5474	fine brass
G5475	brass
G5476	on  the ground
G5477	Chanaan
G5478	of Canaan
G5479	gladness
G5480	graven
G5481	express image
G5482	trench
G5483	deliver
G5484	be- cause of
G5485	acceptable
G5486	gift
G5487	make accepted
G5488	Charran
G5489	paper
G5490	gulf
G5491	lip
G5492	be tossed with tempest
G5493	brook
G5494	tempest
G5495	hand
G5496	lead by the hand
G5497	some to lead by the hand
G5498	handwriting
G5499	made by  hands
G5500	choose
G5501	sorer
G5502	cherubims
G5503	widow
G5504	yesterday
G5505	thousand
G5506	(chief
G5507	thousand
G5508	Chios
G5509	clothes
G5510	snow
G5511	robe
G5512	mock
G5513	lukewarm
G5514	Chloe
G5515	green
G5516	six hundred threescore and six
G5517	earthy
G5518	measure
G5519	swine
G5520	be angry
G5521	gall
G5522	dust
G5523	Chorazin
G5524	give
G5525	dancing
G5526	feed
G5527	sustenance
G5528	blade
G5529	Chuza
G5530	entreat
G5531	lend
G5532	business
G5533	debtor
G5534	ought
G5535	need
G5536	money
G5537	be called
G5538	answer of God
G5539	profit
G5540	use
G5541	be kind
G5542	good words
G5543	better
G5544	gentleness
G5545	anointing
G5546	Christian
G5547	Christ
G5548	anoint
G5549	delay
G5550	+ years old
G5551	spend time
G5552	of gold
G5553	gold
G5554	with a gold ring
G5555	chrysolite
G5556	chrysoprase
G5557	gold
G5558	deck
G5559	body
G5560	cripple
G5561	coast
G5562	come
G5563	depart
G5564	field
G5565	beside
G5566	north west
G5567	make melody
G5568	psalm
G5569	false brethren
G5570	false teacher
G5571	false
G5572	false teacher
G5573	speaking lies
G5574	falsely
G5575	false witness
G5576	be a false witness
G5577	false witness
G5578	false prophet
G5579	lie
G5580	false Christ
G5581	falsely so called
G5582	lie
G5583	liar
G5584	feel after
G5585	count
G5586	stone
G5587	whispering
G5588	whisperer
G5589	crumb
G5590	heart
G5591	natural
G5592	cold
G5593	cold
G5594	wax cold
G5595	feed
G5596	sop
G5597	rub
G5598	Omega
G5599	O
G5600	+ appear
G5601	Obed
G5602	here
G5603	song
G5604	pain
G5605	travail in
G5606	shoulder
G5607	be
G5608	buy
G5609	egg
G5610	day
G5611	beautiful
G5612	roar
G5613	about
G5614	hosanna
G5615	even so
G5616	about
G5617	Osee
G5618	(even
G5619	as
G5620	as
G5621	ear
G5622	advantage
G5623	advantage
G5624	profit
